ID,en,es,gl,is,pl,pt
fill_form,Fill sample form,Rellenar formulario,Encher formulario,Fylltu út sýnishorn,Wypełnij  formularz,Preencha formulário
font,Font,Fuente,Fonte,Leturgerð,Czcionka,Fonte
form_fields,Form fields,Campos del formulario,Campos do formulario,Reitir eyðublaðs,Pola formularza,Campos do formulário
language,Language,Idioma,Idioma,Tungumál,Język,Idioma
reset_form,Reset Form,Reiniciar formulario,Restablecer formulario,Endurstilla eyðublað,Wyczyść formularz,Limpar formulário
english,English,Inglés,Inglés,Enska,angielski,Inglês
spanish,Spanish,Español,Español,spænska,hiszpański,Espanhol
galician,Galician,Gallego,Galego,Galisíska,galicyjski,Galego
icelandic,Icelandic,Islandés,Islandés,Íslenska,islandzki,Islandês
polish,Polish,Polaco,Polaco,Pólska,polski,Polaco
portuguese,Portuguese,Portugués,Portugués,Portúgalska,portugalski,Português
reload_pdf,Reload PDF,Recargar PDF,Recargar PDF,Endurhlaða PDF,Odśwież PDF,Recarregar PDF
download_pdf,Download PDF,Descargar PDF,Descargar PDF,Sækja PDF,Pobierz PDF,Baixar PDF
activity_type,Type of activity,Tipo de actividad,Tipo de actividade,Tegund starfsemi,Rodzaj aktywności,Tipo de atividade
choose,Choose...,Elige...,Escolla...,Veldu ...,Wybierz...,Escolher...
museum,Museum,Museo,Museo,Safn,Muzeum,Museu
exhibition,Exhibition,Exposición,Exposición,Sýning,Wystawa,Exposição
concert,Concert,Concierto,Concerto,Tónleikar,Koncert,Concerto
workshop,Workshop,Taller,Taller / Obradoiro,Vinnustofa,Warsztat,Oficina
movie_screening,Movie Screening,Proyección de películas,Proxección de películas,Kvikmyndasýning,Pokaz filmu,Exibição de filmes
literary_meeting,Literary Meeting,Encuentro Literario,Encontro literario,Bókmenntafundur,Spotkanie literackie,Encontro Literário
theatre_performance,Theatre Performance,Representación teatral,Representación teatral,Leiklistarsýning,Spektakl teatralny,Espetáculo de Teatro
dance_performance,Dance Performance,Espectáculo de danza,Espectáculo de danza,Danssýning,Spektakl taneczny,Performance de dança
festival,Festival,Festival,Festival,Hátíð,Festiwal,Festival
cultural_tour,Cultural Tour,Tour cultural,Xira cultural,Menningarferð,Wycieczka kulturalna,Tour Cultural
performance,Performance,Actuación,Actuación,Flutningur,Spektakl,Atuação
fair,Fair,Feria,Feira,Sanngjarnt,Targi,Feira
attraction,Attraction,Atracción,Atracción,Aðdráttarafl,Atrakcja,Atração
religous_place,Religious place,Lugar Religioso,Lugar relixioso,Trúarlegur staður,Miejsce kultu,Lugar religioso
online_event,Online Event/Web Resource,Evento online / Recurso web,Evento online / Recurso web,Viðburður á netinu/Heimild á netinu,Wydarzenie online/Zasób online,Evento Online/Recurso online
others,Other,Otra,Outra,Annað,Inne,Outros tipos de descontos
error_cultural_activity,"Please, select a valid cultural activity","Por favor, seleccione una actividad cultural válida","Por favor, seleccione unha actividade cultural válida",Vinsamlegast veldu gilda menningarstarfsemi,Proszę wybrać odpowiednie działanie kulturalne,"Por favor, selecione uma atividade cultural válida"
ph_activity_name,Specify the name of the activity,Indique el nombre de la actividad,Indique o nome da actividade,Tilgreinið heiti starfseminnar,Podaj nazwę działania,Indique o nome da atividade
ph_specify,Specify,Especifique,Especifique,Tilgreindu,Sprecyzuj,Especifique
ph_description_activity,Describe briefly the cultural activity,Describa brevemente la actividad cultural,Describa brevemente a actividade cultural,Lýstu stuttlega menningarstarfseminni,Opisz krótko działanie kulturalne,Descreva brevemente a atividade cultural
ph_bus_lines,Bus lines,Líneas de bus,Liñas de autobuses,Leiðarkerfi strætó,Linie autobusowe,Linhas de autocarro
ph_bus_timetables,Bus schedules,Horarios del bus,Horarios de autobuses,Tímatöflur strætó,Rozkład jazdy autobusów,Horários dos autocarros
ph_metro_lines,Subway lines,Líneas de metro,Liñas de metro,Leiðarkerfi neðanjarðarlestar,Linie metra,Linhas de metro
ph_metro_timetables,Metro schedules,Horarios del metro,Horarios do metro,Tímatöflur neðanjarðarlestar,Rozkład jazdy metra,Horários do metro
error_short_description,"Please, enter a short description.","Por favor, introduzca una descripción corta.","Por favor, introduza unha breve descrición.",Vinsamlegast sláðu inn stutta lýsingu.,Proszę podać krótki opis.,"Por favor, insira uma breve descrição."
url_online_event,URL for the Online Event,URL del Evento Online,URL do evento online,Vefslóð viðburðar á netinu,Adres URL wydarzenia online,URL do Evento Online
street,Street,Calle,Rúa,Gata,Ulica,Rua
error_fill_field,"Please, complete this field.","Por favor, complete este campo.","Por favor, complete este campo.",Vinsamlegast fylltu út þennan reit.,Proszę wypełnić to pole.,"Por favor, preencha este campo."
number,Number,Número,Número,Númer,Numer,Número
zip,Zip,CP,CP,Póstnúmer,Kod pocztowy,Código Postal
city,Town,Ciudad,Cidade,Bærinn,Miasto,Cidade
country,Country,Pais,País,Land,Państwo,País
how_to_get_there,How could you get there?,¿Cómo se podría llegar hasta allí?,Como se podería chegar ata alí?,Hvernig gast þú komið þér þangað?,Jak tam dotarłeś_aś?,Como chegar lá?
bus,Bus:,Autobus:,Autobús:,Strætó:,Autobus:,Autocarro:
metro,Subway:,Metro:,Metro:,Neðanjarðarlest:,Metro:,Metro:
taxi,Cab:,Taxi:,Taxi:,Leigubíll:,Taksówka:,Táxi:
car,Car:,Coche:,Coche:,Bíll:,Samochód:,Carro:
parking,Parking:,Aparcamiento:,Aparcamento:,Bílastæði:,Parking:,Estacionamento:
yes,Yes,Sí,Si,Já,Tak,Sim
no,No,No,Non,Nei,Nie,Não
ph_parking_slot,Number of parking places,Número de plazas,Número de prazas,Fjöldi bílastæða,Liczba miejsc parkingowych,Número de lugares de estacionamento
ph_slot_price,Price of parking places,Precio de las plazas,Prezo das prazas,Verð á bílastæðum,Opłata za miejsce parkingowe,Preço do estacionamento
ph_disabled_parking_slot,Number of disabled parking places,Número de plazas para personas discapacitadas,Número de prazas para persoas discapacitadas,Fjöldi bílastæða fyrir fatlað fólk,Liczba miejsc parkingowych dla osób z niepełnosprawnościami,Número de lugares de estacionamento para deficientes
ph_disabled_price_parking_slot,Price of disabled parking places,Precio de las plazas para personas discapacitadas,Prezo das prazas para persoas discapacitadas,Verð bílastæða fyrir fatlað fólk,Opłata za miejsce parkingowe dla osób z niepełnosprawnościami,Preço do estacionamento para deficientes físicos
information_prices,Pricing information,Información sobre los precios,Información sobre os prezos,Verðlagningarupplýsingar,Informacje o biletach,Informações sobre preços
normal_price,Normal price,Precio normal,Prezo normal,Venjulegt verð,Cena biletu normalnego,Preço normal
reduced_price,Reduced price,Precio reducido,Prezo reducido,Lækkað verð,Cena biletu ulgowego,Preço reduzido
ph_when,When?,¿Cuándo?,Cando?,Hvenær?,Kiedy?,Quando?
family_price,Special price per family,Precio especial por familia,Prezo especial por familia,Sértilboð á fjölskyldu,Cena biletu rodzinnego,Preço especial para famílias
member_price,Price per family member (€),Precio por miembro (€),Prezo por membro (€),Verð á fjölskyldumeðlim (€),Cena biletu za członka rodziny (€),Preço por membro da família (€)
max_num_children,Maximum number of children,Maximo número de niños,Número máximo de nenos/as,Fjöldatakmörkun barna,Maksymalna liczba dzieci,Número máximo de filhos
max_age_children,Maximum age of children,Edad máxima de los niños,Idade máxima dos nenos/as,Aldurstakmark barna,Maksymalny wiek dzieci,Idade máxima das crianças
free_interpreter,Free for interpreter or facilitator,Gratis para intérprete o facilitador/a,De balde para intérprete ou facilitador/a,Frítt fyrir túlk eða aðstoðarmanneskju,Bezpłatnie dla tłumacza lub opiekuna,Gratuito para intérprete ou facilitador
other_discounts,Other types of discounts,Otro tipo de descuentos,Outros tipos de descontos,Aðrar tegundir afsláttar,Inne rodzaje zniżek,Outros tipos de descontos
terms_condition,Terms and conditions,Términos y condiciones,Termos e condicións,Skilmálar,Regulamin,Termos e Condições
ph_descrive_terms,Describe briefly the terms and conditions,Describa brevemente los términos y condiciones,Describa brevemente os termos e as condicións,Lýstu stuttlega skilmálunum,Opisz krótko regulamin,Descreva resumidamente os termos e condições
information_buy_tickets,Information about buying tickets,Información sobre la compra de entradas,Información sobre a compra de billetes,Upplýsingar um miðakaup,Informacje o zakupie biletów,Informação sobre compra de bilhetes
buy_tickets,Purchase of tickets,Compra de billetes,Compra de billetes,Kaup á miðum,Zakup biletów,Compra de bilhetes
online,On-line,Online,En liña,Á netinu,Online,Online
onsite,On site,En el sitio,No lugar,Á staðnum,Na miejscu,No local
ph_link,Link:,Enlace:,Ligazón:,Tengill:,Link:,Link:
ph_link_virtual_tour,Link:,Enlace:,Ligazón:,Tengill:,Link:,Link:
where,Where?,¿En dónde?,Onde?,Hvar?,Gdzie?,Onde?
information_hours,Information about schedules,Información sobre los horarios,Información sobre horarios,Upplýsingar um tímaáætlun,Informacja o harmonogramie,Informação sobre horários
continuous_schedule,Continuous hours,Horario continuo,Horario continuo,Samfelldir tímar,Stałe godziny,Horário Contínuo
morning_schedule,Morning schedule,Horario de mañana,Horario de mañá,Morgundagskrá,Godziny poranne,Horário da manhã
afternoon_schedule,Afternoon schedule,Horario de tarde,Horario de tarde,Eftirmiðdagsdagskrá,Godziny popołudniowe,Horário da tarde
opening_days,What days is it open?,¿Qué días está abierto?,Que días está aberto?,Hvaða daga er opið?,W jakie dni jest otwarte?,Em que dias está aberto?
monday,Monday,Lunes,Luns,Mánudagur,poniedziałek,Segunda-feira
tuesday,Tuesday,Martes,Martes,Þriðjudagur,wtorek,Terça-feira
wednesday,Wednesday,Miércoles,Mércores,Miðvikudagur,środa,Quarta-feira
thursday,Thursday,Jueves,Xoves,Fimmtudagur,czwartek,Quinta-feira
friday,Friday,Viernes,Venres,Föstudagur,piątek,Sexta-feira
saturday,Saturday,Sábado,Sábado,Laugardagur,sobota,Sábado
sunday,Sunday,Domingo,Domingo,Sunnudagur,niedziela,Domigo
opening_hours,Opening time,Hora de apertura,Horario de apertura,Opnunartími,Godzina otwarcia,Horário de abertura
closing_hour,Closing time,Hora de cierre,Hora de peche,Lokunartími,Godzina zamknięcia,Horário de encerramento
last_admission_time,Last shift time,Hora último turno,Último tempo de quenda,Síðasti vaktartími,Godzina ostatniego wejścia,Horário da última visita
information_facilities,Information about the facilities,Información sobre las instalaciones,Información sobre as instalacións,Upplýsingar um aðstöðuna,Udogodnienia,Informação sobre as instalações
information_guides,Information about the guides,Información sobre las guías,Información sobre as guías,Upplýsingar um leiðsögumenn,Informacje na temat przewodników,Informação sobre guias
private_tours,Private tours,Visitas privadas,Visitas privadas,Einkaferðir,Zwiedzanie prywatne,Visitas privadas / guiadas
duration_private_tour,Private tour schedule (minutes),Duración de la visita privada (minutos),Duración da visita privada (minutos),Dagskrá einkaferða (mínútur),Czas zwiedzania prywatnego (minuty),Programação da visita privada / guiada (minutos)
price_private_tour,Private tour price(€),Precio de la visita privada (€),Prezo da visita privada (€),Verð einkaferða (€),Opłata za zwiedzanie prywatne (€),Preço da visita privada / guiada (€)
information_allowed_actions,Information about allowed actions,Información sobre acciones permitidas,Información sobre accións permitidas,Upplýsingar um leyfðar aðgerðir,Informacje na temat dozwolonych działań,Informação sobre ações permitidas
extra_information,More information,Más información,Máis información,Meiri upplýsingar,Więcej informacji,Mais informação
before_going_info,Before-you-go information,Información previa al viaje,Información previa á viaxe,Upplýsingar áður en þú ferð,Informacje przed wyjściem,O que saber antes de ir
ph_extra_info,Does the user need to know anything else before going?,¿Necesita la persona usuaria saber algo más antes de ir?,A persoa usuaria precisa saber algo máis antes de ir?,Þarf notandinn að vita eitthvað annað áður en hann fer?,Czy użytkownik musi o czymś wiedzieć przed przybyciem?,O visitante precisa saber mais alguma coisa antes de ir?
give_extra_info,Extra information that you want to detail,Información extra que se desee detallar,Información adicional que desexa detallar,Frekari upplýsingar sem þú vilt tilgreina,"Dodatkowe informacje, które chcesz uszczegółowić",Informação extra que queira acrescentar
ph_event_extra_info,Do you want to detail something more about this event?,¿Desea contar algo más sobre este evento?,Quere dicir algo máis sobre este evento?,Viltu tilgreina eitthvað frekar um þennan atburð?,Czy chcesz napisać coś więcej o tym wydarzeniu?,Quer acrescentar mais informação sobre este evento?
virtual_tours,Would it be possible to make virtual visits?,¿Sería posible hacer visitas virtuales?,Sería posible facer visitas virtuais?,Væri hægt að fara í sýndarheimsóknir?,Czy jest możliwa relizacja wizyt wirtualnych?,É possível fazer visitas virtuais?
send_form,Send Form,Enviar formulario,Enviar formulario,Senda eyðublað,Wyślij formularz,Submeter formulário
accessible_areas,Wheelchair accessible,Accesible para sillas de ruedas,Accesible en cadeira de rodas,Aðgengilegt fyrir hjólastóla,Dostępność dla wózków inwalidzkich,Acessível a cadeiras de rodas
lifts,Lifts,Ascensores,Ascensores,Lyftur,Windy,Elevadores
toilets,Toilets,Baños,Baños,Salerni,WC,Sanitários
disabled_toilets,Toilets for disabled,Baños para personas discapacitadas,Baños para persoas discapacitadas,Salerni fyrir fatlað fólk,Toalety dla osób z niepełnosprawnościami,Sanitários para deficientes
changing,Changing room,Cambiador,Cambiador,Búningsherbergi,Przebieralnia,Vestiário
cloakrooms,Cloakrooms and luggage,Guardaropa,Armario,Fatahengi og farangur,Szatnie,Bengaleiro
blind_paths,Paths for blind people,Rutas para invidentes,Rutas para invidentes,Leiðir fyrir blint fólk,Ścieżki dotykowe dla osób niewidomych,Percursos para cegos
interpreters,Interpreters,Intérpretes,Intérpretes,Túlkar,Tłumacze,Intérpretes
heats,Heats,Radiadores,Radiadores,Ofnar,Grzejniki,Aquecimento
air_condition,Air conditioning,Aire acondicionado,Aire acondicionado,Loftkæling,Klimatyzacja,Ar condicionado
chairs_rest,Chairs to rest,Sillas para descansar,Cadeiras para descansar,Stólar til hvíldar,Krzesła do odpoczynku,Áreas para descansar
interactive_objects,Interactive objects and displays,Objetos interactivos y pantallas,Obxectos interactivos e pantallas,Gagnvirkir hlutir og skjáir,Interaktywne obiekty i wyświetlacze,Objetos e écrans interativos
sign_guides,Sign language guides,Guías de lengua de signos,Guías de lingua de signos,Táknmálsleiðsögn,Przewodniki w języku migowym,Guias de linguagem de sinais
audible_guides,Audio guides,Audioguías,Audioguías,Hljóðleiðsögn,Audioprzewodniki,Guias de áudio
braille_guides,Braille guides,Guías en braille,Guías en braille,Blindraletursleiðsögn,Przewodniki w alfabecie Braille'a,Guias em braille
pictogram_guides,Pictograms guides,Guías con pictogramas,Guías con pictogramas,Táknmyndaleiðsögn,Przewodniki z piktogramami,Guias de pictogramas
easy_vocabulary_guides,Easy vocabulary guides,Guías con vocabulario sencillo,Guías con vocabulario sinxelo,Leiðsögn á auðskildu máli,Przewodniki z prostym słownictwem,Guias de vocabulário fáceis
different_languages,Available in different languages,Disponibles en diferentes idiomas,Dispoñible en diferentes idiomas,Fáanlegt á ólíkum tungumálum,Dostępne w wielu językach,Disponível em vários idiomas
photographs_allowed,Photographs allowed,Fotografías permitidas,Permítense fotografías,Ljósmyndir leyfðar,Fotografowanie dozwolone,Fotografias permitidas
flash_allowed,Flash photos allowed,Fotografías con flash permitidas,Permítense fotos con flash,Ljósmyndir með flassi leyfðar,Fotografowanie z fleszem dozwolone,Fotografias com flash permitidas
recording_allowed,Video recording allowed,Grabar vídeo permitido,Permítese gravar vídeos,Myndbandsupptaka leyfð,Rejestrowanie wideo dozwolone,Gravação de vídeo permitida
cafeteria_bar,Cafeteria and bar,Cafetería y bar,Cafetería e bar,Kaffihús og bar,Kawiarnia i bar,Cafetaria e bar
cantina,Cantina,Comedor,Comedor,Mötuneyti,Jadalnia,Espaço de refeições
food_drink_allowed,Food and drinks allowed,Comida y bebida permitidas,Permítese comida e bebida,Matur og drykkur leyfður,Dozwolone jedzenie i picie,Alimentos e bebidas são permitidos
bring_own_food,Bring your own food in case of allergies allowed,Permitido traer tu propia comida si eres alérgico,Permítese levar a comida propia se se é alérxico,Leyfilegt að koma með eigin mat ef þú ert með ofnæmi,W przypadku alergii dozwolne własne jedzenie,Trazer a própria comida em caso de alergia permitida
backpacks_allowed,Backpacks allowed,Mochilas permitidas,Mochilas permitidas,Bakpokar leyfðir,Dozwolone plecaki,Mochilas permitidas
shop,Shop,Tienda,Tenda,Verslun,Sklep,Loja
short_description,Short description,Descripción corta,Descrición curta,Stutt lýsing,Krótki opis,Pequena descrição
location,Location information,Información sobre la localización,Información de localización,Upplýsingar um staðsetningu,Informacje na temat lokalizacji,Informação sobre a localização
address,Address,Dirección,Enderezo,Heimilisfang,adres,Morada
slots,slot,plaza,praza,staður,miejsce,por lugar
each,each,cada una,cada unha,hvert,każdy,por pessoa
free,free,gratis,de balde,ókeypis,bezpłatny,gratuito
tickets_information,Ticket information,Información sobre las entradas,Información de billetes,Upplýsingar um miða,Informacje o biletach,Informação sobre bilhetes
autoreload,Update PDF automatically,Actualizar PDF automáticamente,Actualizar PDF automaticamente,Uppfærðu PDF sjálfkrafa,Aktualizuj PDF automatycznie,Atualizar PDF automaticamente
press,Press!,¡Presione!,Prema!,ýttu á!,Naciśnij!,Pressione!
family_price,Price for families,Precio por familias,Prezo por familia,Verð fyrir fjölskyldur,Opłata dla rodzin,Preço para famílias
children,sons,hijos/as,fillos/as,synir,dzieci,filhos
child,child,niño/a,neno/a,barn,dziecko,criança
max_age_1,up to {num_y} year old,hasta {num_y} año,ata {num_y} ano,allt að {num_y} árs,do {num_y} roku życia,até {num_y} ano
max_age_2,up to {num_y} years old,hasta {num_y} años,ata {num_y} anos,allt að {num_y} ára,do {num_y} lat,até {num_y} anos
free_for_all,Free for all,Gratis para todos,De balde para todos,frítt fyrir alla,bezpłatny dla wszystkich,Gratuito para todos
per_member,per member,cada miembro,por membro,á hvern meðlim,dla członka,por membro
hours,From {0} to {1},De {0} a {1},De {0} a {1},Frá {0} til {1},od {0} do {1},De {0} a {1}
last_admission,(Last shift: {0}),(Último turno: {0}),(Última quenda: {0}),(Síðasta vakt: {0}),(Ostatnie wejście o {0}),(Última entrada: {0})
